id,sequence,start_frame,end_frame,frame_count,point_in_boxes,object_count,Car,Truck,Pedestrian,Cyclist
0147,0060,011065,011111,47,117845,504,378,4,104,18
0094,0034,006248,006303,56,117548,503,226,108,9,160
0295,0089,016156,016173,18,117021,501,352,22,47,80
0153,0062,011396,011433,38,114955,503,294,36,150,23
0134,0056,010199,010236,38,114230,502,218,115,45,124
0151,0062,011326,011355,30,112867,516,263,57,99,97
0274,0073,013707,013728,22,112597,513,407,22,5,79
0180,0077,014208,014241,34,110664,509,287,79,89,54
0189,0082,014939,015030,92,107789,502,303,7,8,184
0107,0041,007457,007513,57,101465,507,403,77,6,21
0179,0077,014160,014207,48,97442,502,152,73,134,143
0296,0089,016174,016199,26,95370,518,247,8,60,203
0261,0063,011523,011544,22,93103,508,329,69,41,69
0232,0042,007628,007693,66,92628,502,287,135,11,69
0141,0060,010946,010967,20,91921,525,351,13,99,62
0099,0036,006519,006635,115,88965,505,263,10,128,104
0294,0089,016139,016155,17,88677,523,332,42,44,105
0150,0062,011298,011325,28,86763,514,272,57,85,100
0195,0093,016980,017000,21,85414,503,252,57,66,128
0127,0055,009902,009961,60,84484,508,189,69,3,247
0227,0020,003932,004004,73,83895,502,329,31,9,133
0123,0054,009741,009775,35,80901,504,324,37,9,134
0133,0056,010169,010198,30,80697,512,198,91,49,174
0215,0007,001718,001771,54,80523,507,292,78,3,134
0301,0092,016741,016763,23,80243,520,262,24,84,150
0302,0092,016764,016788,25,79718,513,224,34,91,164
0132,0056,010138,010168,31,78363,514,235,64,37,178
0119,0050,009016,009050,35,75351,503,392,29,6,76
0058,0008,001957,001978,22,74724,516,300,86,1,129
0142,0060,010968,010986,19,74634,508,336,19,90,63
0303,0092,016789,016820,28,66507,508,259,20,102,127
0064,0016,003211,003286,59,66276,504,293,83,3,125
0061,0010,002244,002269,26,60754,508,261,78,48,121
0276,0073,013750,013775,26,59375,512,468,32,5,7
0176,0072,013622,013647,26,56766,502,261,39,68,134
0256,0061,011206,011257,49,56681,510,299,25,109,77
0271,0071,013327,013348,22,54619,511,342,66,28,75
0173,0072,013555,013572,18,54394,508,248,19,76,165
0265,0071,013216,013239,24,54347,502,251,24,89,138
0059,0008,001979,002018,40,52910,505,280,94,9,122
0216,0007,001772,001825,51,52308,505,399,42,1,63
0255,0061,011175,011205,31,47465,516,248,10,97,161
0160,0066,012167,012182,16,45964,512,292,16,152,52
0129,0055,010029,010095,67,45075,507,417,31,11,48
0158,0066,012140,012152,13,42425,523,254,20,177,72
0161,0066,012183,012199,17,42396,512,318,17,150,27
0110,0047,008477,008519,43,32752,507,231,43,15,218
